(Method , Model) : (HOG , KNN)
Method spend 9.05 sec.
Model spend 2.91 sec.
Accuracy = 0.0853
F1 score = 0.07860377231348617
Classification Report:               precision    recall  f1-score   support
          65       0.09      0.12      0.10       100
          66       0.18      0.07      0.10       100
          67       0.20      0.23      0.22       100
          68       0.18      0.13      0.15       100
          69       0.17      0.07      0.10       100
          70       0.00      0.00      0.00       100
          71       0.02      0.01      0.01       100
          72       0.23      0.28      0.25       100
          73       0.07      0.07      0.07       100
          74       0.12      0.12      0.12       100
          75       0.14      0.19      0.16       100
          76       0.19      0.20      0.20       100
          77       0.19      0.17      0.18       100
          78       0.11      0.07      0.08       100
          79       0.21      0.15      0.18       100
          80       0.17      0.11      0.13       100
          81       0.09      0.04      0.06       100
          82       0.00      0.00      0.00       100
          83       0.14      0.07      0.09       100
          84       0.14      0.27      0.19       100
          85       0.11      0.09      0.10       100
          86       0.13      0.06      0.08       100
          87       0.17      0.22      0.19       100
          88       0.22      0.18      0.20       100
          89       0.02      0.01      0.01       100
          90       0.04      0.03      0.03       100
          91       0.02      0.01      0.01       100
          92       0.09      0.14      0.11       100
          93       0.08      0.06      0.07       100
          94       0.25      0.19      0.21       100
          95       0.12      0.05      0.07       100
          96       0.08      0.07      0.07       100
          97       0.19      0.23      0.21       100
          98       0.10      0.11      0.10       100
          99       0.00      0.00      0.00       100

    accuracy                           0.13     10000
   macro avg       0.12      0.13      0.12     10000
weighted avg       0.12      0.13      0.12     10000


(Method , Model) : (HOG , RandomForest)
Method spend 9.05 sec.
Model spend 166.51 sec.
Accuracy = 0.0815
F1 score = 0.07169291072794401
Classification Report:               precision    recall  f1-score   support

           0       0.12      0.30      0.17       100
           1       0.00      0.00      0.00       100
           2       0.03      0.04      0.03       100
           3       0.01      0.02      0.02       100
           4       0.09      0.24      0.13       100
           5       0.08      0.22      0.12       100
           6       0.02      0.03      0.03       100
           7       0.02      0.03      0.02       100
           8       0.12      0.18      0.15       100
           9       0.13      0.18      0.15       100
          10       0.04      0.05      0.04       100
          11       0.05      0.11      0.07       100
          12       0.05      0.07      0.06       100
          13       0.04      0.03      0.03       100
          14       0.16      0.36      0.22       100
          15       0.06      0.07      0.06       100
          16       0.16      0.44      0.23       100
          17       0.03      0.04      0.04       100
          18       0.06      0.10      0.08       100
          19       0.14      0.29      0.18       100
          20       0.05      0.07      0.06       100
          21       0.11      0.26      0.15       100
          22       0.08      0.10      0.09       100
          23       0.12      0.23      0.16       100
          24       0.11      0.08      0.09       100
          25       0.01      0.01      0.01       100
          26       0.03      0.04      0.03       100
          27       0.06      0.05      0.06       100
          28       0.03      0.03      0.03       100
          29       0.07      0.05      0.06       100
          30       0.07      0.13      0.09       100
          31       0.03      0.03      0.03       100
          32       0.05      0.04      0.04       100
          33       0.14      0.16      0.15       100
          34       0.06      0.04      0.05       100
          35       0.07      0.04      0.05       100
          36       0.04      0.08      0.06       100
          37       0.04      0.04      0.04       100
          38       0.03      0.03      0.03       100
          39       0.09      0.09      0.09       100
          40       0.06      0.07      0.06       100
          41       0.04      0.04      0.04       100
          42       0.02      0.01      0.01       100
          43       0.09      0.07      0.08       100
          44       0.00      0.00      0.00       100
          45       0.02      0.01      0.01       100
          46       0.06      0.05      0.05       100
          47       0.20      0.41      0.27       100
          48       0.05      0.07      0.06       100
          49       0.09      0.05      0.06       100
          50       0.00      0.00      0.00       100
          51       0.04      0.03      0.03       100
          52       0.12      0.10      0.11       100
          53       0.06      0.05      0.05       100
          54       0.04      0.04      0.04       100
          55       0.03      0.02      0.03       100
          56       0.13      0.08      0.10       100
          57       0.17      0.25      0.20       100
          58       0.03      0.02      0.02       100
          59       0.09      0.07      0.08       100
          60       0.08      0.03      0.04       100
          61       0.03      0.01      0.01       100
          62       0.14      0.16      0.15       100
          63       0.05      0.02      0.03       100
          64       0.01      0.01      0.01       100
          65       0.06      0.05      0.05       100
          66       0.11      0.03      0.05       100
          67       0.14      0.14      0.14       100
          68       0.10      0.09      0.10       100
          69       0.04      0.02      0.03       100
          70       0.00      0.00      0.00       100
          71       0.01      0.01      0.01       100
          72       0.22      0.25      0.23       100
          73       0.11      0.08      0.09       100
          74       0.11      0.09      0.10       100
          75       0.14      0.10      0.12       100
          76       0.10      0.05      0.07       100
          77       0.12      0.09      0.10       100
          78       0.04      0.02      0.03       100
          79       0.19      0.09      0.12       100
          80       0.09      0.04      0.05       100
          81       0.06      0.02      0.03       100
          82       0.00      0.00      0.00       100
          83       0.25      0.07      0.11       100
          84       0.10      0.11      0.11       100
          85       0.04      0.02      0.03       100
          86       0.09      0.04      0.06       100
          87       0.13      0.16      0.15       100
          88       0.15      0.13      0.14       100
          89       0.03      0.01      0.01       100
          90       0.02      0.01      0.01       100
          91       0.03      0.01      0.02       100
          92       0.06      0.05      0.05       100
          93       0.03      0.01      0.02       100
          94       0.24      0.12      0.16       100
          95       0.11      0.04      0.06       100
          96       0.03      0.01      0.02       100
          97       0.07      0.04      0.05       100
          98       0.12      0.08      0.10       100
          99       0.00      0.00      0.00       100

    accuracy                           0.08     10000
   macro avg       0.08      0.08      0.07     10000
weighted avg       0.08      0.08      0.07     10000


(Method , Model) : (ColorHistogram , KNN)
Method spend 4.29 sec.
Model spend 1.89 sec.
Accuracy = 0.0732
F1 score = 0.06712002892655324
Classification Report:               precision    recall  f1-score   support

           0       0.08      0.22      0.12       100
           1       0.02      0.06      0.02       100
           2       0.05      0.15      0.07       100
           3       0.06      0.17      0.09       100
           4       0.03      0.18      0.06       100
           5       0.04      0.19      0.07       100
           6       0.03      0.14      0.05       100
           7       0.04      0.12      0.07       100
           8       0.08      0.27      0.12       100
           9       0.04      0.08      0.05       100
          10       0.02      0.05      0.03       100
          11       0.06      0.09      0.07       100
          12       0.01      0.02      0.02       100
          13       0.03      0.08      0.04       100
          14       0.10      0.17      0.12       100
          15       0.05      0.09      0.07       100
          16       0.12      0.17      0.14       100
          17       0.05      0.13      0.08       100
          18       0.05      0.10      0.07       100
          19       0.00      0.00      0.00       100
          20       0.02      0.03      0.02       100
          21       0.15      0.40      0.22       100
          22       0.08      0.09      0.08       100
          23       0.05      0.04      0.04       100
          24       0.04      0.04      0.04       100
          25       0.05      0.07      0.06       100
          26       0.03      0.02      0.02       100
          27       0.03      0.03      0.03       100
          28       0.09      0.16      0.12       100
          29       0.17      0.24      0.20       100
          30       0.06      0.14      0.09       100
          31       0.18      0.12      0.14       100
          32       0.00      0.00      0.00       100
          33       0.05      0.05      0.05       100
          34       0.05      0.03      0.04       100
          35       0.03      0.02      0.02       100
          36       0.20      0.18      0.19       100
          37       0.01      0.01      0.01       100
          38       0.09      0.05      0.07       100
          39       0.05      0.06      0.05       100
          40       0.03      0.01      0.01       100
          41       0.09      0.05      0.06       100
          42       0.31      0.40      0.35       100
          43       0.16      0.14      0.15       100
          44       0.09      0.05      0.06       100
          45       0.03      0.01      0.02       100
          46       0.00      0.00      0.00       100
          47       0.15      0.05      0.08       100
          48       0.30      0.19      0.23       100
          49       0.22      0.10      0.14       100
          50       0.00      0.00      0.00       100
          51       0.15      0.09      0.11       100
          52       0.41      0.24      0.30       100
          53       0.06      0.02      0.03       100
          54       0.08      0.02      0.03       100
          55       0.06      0.05      0.06       100
          56       0.00      0.00      0.00       100
          57       0.11      0.03      0.05       100
          58       0.11      0.05      0.07       100
          59       0.25      0.07      0.11       100
          60       0.12      0.12      0.12       100
          61       0.03      0.01      0.01       100
          62       0.04      0.01      0.02       100
          63       0.00      0.00      0.00       100
          64       0.03      0.01      0.01       100
          65       0.09      0.04      0.05       100
          66       0.09      0.02      0.03       100
          67       0.09      0.02      0.03       100
          68       0.11      0.03      0.05       100
          69       0.00      0.00      0.00       100
          70       0.00      0.00      0.00       100
          71       0.07      0.02      0.03       100
          72       0.27      0.20      0.23       100
          73       0.14      0.01      0.02       100
          74       0.18      0.05      0.08       100
          75       0.21      0.05      0.08       100
          76       0.07      0.02      0.03       100
          77       0.11      0.02      0.03       100
          78       0.10      0.07      0.08       100
          79       0.19      0.03      0.05       100
          80       0.14      0.03      0.05       100
          81       0.21      0.03      0.05       100
          82       0.28      0.19      0.23       100
          83       0.27      0.07      0.11       100
          84       0.13      0.06      0.08       100
          85       0.07      0.02      0.03       100
          86       0.12      0.06      0.08       100
          87       0.25      0.03      0.05       100
          88       0.00      0.00      0.00       100
          89       0.17      0.14      0.16       100
          90       0.05      0.01      0.02       100
          91       0.06      0.03      0.04       100
          92       0.06      0.02      0.03       100
          93       0.15      0.03      0.05       100
          94       0.00      0.00      0.00       100
          95       0.00      0.00      0.00       100
          96       0.08      0.02      0.03       100
          97       0.00      0.00      0.00       100
          98       0.03      0.01      0.02       100
          99       0.06      0.01      0.02       100

    accuracy                           0.07     10000
   macro avg       0.09      0.07      0.07     10000
weighted avg       0.09      0.07      0.07     10000


(Method , Model) : (ColorHistogram , SVM)
Method spend 4.29 sec.
Model spend 552.54 sec.
Accuracy = 0.1182
F1 score = 0.10067674490528272
Classification Report:               precision    recall  f1-score   support

           0       0.23      0.26      0.25       100
           1       0.02      0.02      0.02       100
           2       0.06      0.07      0.07       100
           3       0.05      0.02      0.03       100
           4       0.00      0.00      0.00       100
           5       0.04      0.09      0.06       100
           6       0.08      0.03      0.04       100
           7       0.05      0.05      0.05       100
           8       0.10      0.20      0.14       100
           9       0.08      0.09      0.09       100
          10       0.09      0.04      0.06       100
          11       0.11      0.14      0.13       100
          12       0.00      0.00      0.00       100
          13       0.06      0.04      0.05       100
          14       0.30      0.25      0.27       100
          15       0.11      0.09      0.10       100
          16       0.22      0.33      0.26       100
          17       0.09      0.11      0.10       100
          18       0.09      0.09      0.09       100
          19       0.06      0.03      0.04       100
          20       0.05      0.06      0.05       100
          21       0.17      0.59      0.26       100
          22       0.12      0.20      0.15       100
          23       0.12      0.07      0.09       100
          24       0.06      0.01      0.02       100
          25       0.09      0.12      0.11       100
          26       0.13      0.04      0.06       100
          27       0.08      0.03      0.04       100
          28       0.08      0.15      0.11       100
          29       0.21      0.47      0.29       100
          30       0.06      0.06      0.06       100
          31       0.25      0.41      0.31       100
          32       0.00      0.00      0.00       100
          33       0.09      0.29      0.14       100
          34       0.11      0.01      0.02       100
          35       0.05      0.06      0.05       100
          36       0.19      0.22      0.20       100
          37       0.09      0.07      0.08       100
          38       0.28      0.23      0.25       100
          39       0.07      0.18      0.10       100
          40       0.08      0.06      0.07       100
          41       0.14      0.13      0.13       100
          42       0.27      0.52      0.35       100
          43       0.31      0.17      0.22       100
          44       0.11      0.01      0.02       100
          45       0.00      0.00      0.00       100
          46       0.12      0.10      0.11       100
          47       0.20      0.27      0.23       100
          48       0.18      0.19      0.19       100
          49       0.26      0.24      0.25       100
          50       0.04      0.01      0.02       100
          51       0.09      0.12      0.11       100
          52       0.28      0.55      0.37       100
          53       0.07      0.02      0.03       100
          54       0.00      0.00      0.00       100
          55       0.08      0.14      0.10       100
          56       0.00      0.00      0.00       100
          57       0.09      0.09      0.09       100
          58       0.12      0.07      0.09       100
          59       0.17      0.21      0.19       100
          60       0.11      0.20      0.15       100
          61       0.07      0.02      0.03       100
          62       0.05      0.02      0.03       100
          63       0.00      0.00      0.00       100
          64       0.06      0.27      0.10       100
          65       0.13      0.17      0.15       100
          66       0.03      0.03      0.03       100
          67       0.08      0.06      0.07       100
          68       0.05      0.03      0.04       100
          69       0.06      0.02      0.03       100
          70       0.00      0.00      0.00       100
          71       0.01      0.01      0.01       100
          72       0.19      0.49      0.27       100
          73       0.08      0.02      0.03       100
          74       0.21      0.22      0.21       100
          75       0.10      0.10      0.10       100
          76       0.12      0.08      0.10       100
          77       0.04      0.02      0.03       100
          78       0.08      0.21      0.11       100
          79       0.04      0.10      0.06       100
          80       0.11      0.07      0.09       100
          81       0.03      0.01      0.01       100
          82       0.22      0.29      0.25       100
          83       0.29      0.19      0.23       100
          84       0.16      0.13      0.14       100
          85       0.13      0.19      0.16       100
          86       0.12      0.06      0.08       100
          87       0.27      0.08      0.12       100
          88       0.07      0.06      0.07       100
          89       0.15      0.13      0.14       100
          90       0.09      0.11      0.10       100
          91       0.00      0.00      0.00       100
          92       0.04      0.05      0.05       100
          93       0.12      0.13      0.13       100
          94       0.12      0.01      0.02       100
          95       0.00      0.00      0.00       100
          96       0.08      0.05      0.06       100
          97       0.04      0.03      0.04       100
          98       0.00      0.00      0.00       100
          99       0.15      0.04      0.06       100

    accuracy                           0.12     10000
   macro avg       0.11      0.12      0.10     10000
weighted avg       0.11      0.12      0.10     10000


(Method , Model) : (ColorHistogram , RandomForest)
Method spend 4.29 sec.
Model spend 45.69 sec.
Accuracy = 0.1379
F1 score = 0.12114206398908413
Classification Report:               precision    recall  f1-score   support

           0       0.18      0.29      0.22       100
           1       0.04      0.06      0.05       100
           2       0.05      0.08      0.07       100
           3       0.07      0.09      0.08       100
           4       0.04      0.07      0.05       100
           5       0.07      0.11      0.09       100
           6       0.08      0.13      0.10       100
           7       0.03      0.03      0.03       100
           8       0.10      0.18      0.13       100
           9       0.07      0.08      0.07       100
          10       0.09      0.11      0.10       100
          11       0.09      0.12      0.10       100
          12       0.03      0.02      0.02       100
          13       0.10      0.10      0.10       100
          14       0.18      0.33      0.23       100
          15       0.07      0.07      0.07       100
          16       0.20      0.36      0.26       100
          17       0.08      0.12      0.10       100
          18       0.14      0.11      0.12       100
          19       0.02      0.01      0.01       100
          20       0.02      0.02      0.02       100
          21       0.21      0.50      0.29       100
          22       0.10      0.14      0.12       100
          23       0.08      0.07      0.08       100
          24       0.06      0.04      0.05       100
          25       0.13      0.23      0.17       100
          26       0.06      0.05      0.05       100
          27       0.10      0.08      0.09       100
          28       0.17      0.17      0.17       100
          29       0.32      0.49      0.39       100
          30       0.25      0.42      0.31       100
          31       0.24      0.43      0.30       100
          32       0.08      0.04      0.05       100
          33       0.10      0.16      0.13       100
          34       0.02      0.01      0.01       100
          35       0.06      0.06      0.06       100
          36       0.22      0.20      0.21       100
          37       0.06      0.04      0.05       100
          38       0.21      0.49      0.29       100
          39       0.17      0.28      0.22       100
          40       0.05      0.04      0.04       100
          41       0.13      0.12      0.12       100
          42       0.32      0.55      0.40       100
          43       0.21      0.17      0.19       100
          44       0.09      0.09      0.09       100
          45       0.04      0.02      0.03       100
          46       0.15      0.14      0.14       100
          47       0.14      0.20      0.17       100
          48       0.25      0.39      0.31       100
          49       0.30      0.33      0.31       100
          50       0.00      0.00      0.00       100
          51       0.11      0.14      0.12       100
          52       0.35      0.54      0.43       100
          53       0.08      0.03      0.04       100
          54       0.00      0.00      0.00       100
          55       0.09      0.12      0.10       100
          56       0.02      0.01      0.01       100
          57       0.09      0.05      0.06       100
          58       0.20      0.14      0.16       100
          59       0.16      0.12      0.14       100
          60       0.26      0.41      0.32       100
          61       0.07      0.04      0.05       100
          62       0.05      0.02      0.03       100
          63       0.09      0.03      0.04       100
          64       0.09      0.15      0.11       100
          65       0.18      0.19      0.19       100
          66       0.08      0.05      0.06       100
          67       0.08      0.06      0.07       100
          68       0.07      0.03      0.04       100
          69       0.13      0.07      0.09       100
          70       0.10      0.03      0.05       100
          71       0.08      0.06      0.07       100
          72       0.18      0.34      0.23       100
          73       0.10      0.08      0.09       100
          74       0.26      0.21      0.23       100
          75       0.05      0.02      0.03       100
          76       0.09      0.08      0.08       100
          77       0.05      0.01      0.02       100
          78       0.10      0.12      0.11       100
          79       0.09      0.06      0.07       100
          80       0.07      0.04      0.05       100
          81       0.09      0.04      0.06       100
          82       0.27      0.43      0.33       100
          83       0.34      0.31      0.32       100
          84       0.21      0.21      0.21       100
          85       0.22      0.23      0.22       100
          86       0.08      0.06      0.07       100
          87       0.14      0.10      0.12       100
          88       0.09      0.05      0.06       100
          89       0.18      0.17      0.18       100
          90       0.04      0.03      0.04       100
          91       0.08      0.03      0.04       100
          92       0.14      0.14      0.14       100
          93       0.15      0.13      0.14       100
          94       0.00      0.00      0.00       100
          95       0.05      0.01      0.02       100
          96       0.09      0.07      0.08       100
          97       0.02      0.01      0.01       100
          98       0.03      0.01      0.02       100
          99       0.13      0.07      0.09       100

    accuracy                           0.14     10000
   macro avg       0.12      0.14      0.12     10000
weighted avg       0.12      0.14      0.12     10000


(Method , Model) : (SIFT , KNN)
Method spend 171.3 sec.
Model spend 0.37 sec.
Accuracy = 0.009893992932862191
F1 score = 0.00019594121763470958
Classification Report:               precision    recall  f1-score   support

           0       0.01      1.00      0.02        98
           1       0.00      0.00      0.00       100
           2       0.00      0.00      0.00        96
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00       100
           5       0.00      0.00      0.00       100
           6       0.00      0.00      0.00        99
           7       0.00      0.00      0.00       100
           8       0.00      0.00      0.00       100
           9       0.00      0.00      0.00       100
          10       0.00      0.00      0.00       100
          11       0.00      0.00      0.00        99
          12       0.00      0.00      0.00        99
          13       0.00      0.00      0.00        96
          14       0.00      0.00      0.00       100
          15       0.00      0.00      0.00       100
          16       0.00      0.00      0.00       100
          17       0.00      0.00      0.00       100
          18       0.00      0.00      0.00       100
          19       0.00      0.00      0.00       100
          20       0.00      0.00      0.00       100
          21       0.00      0.00      0.00       100
          22       0.00      0.00      0.00       100
          23       0.00      0.00      0.00       100
          24       0.00      0.00      0.00        99
          25       0.00      0.00      0.00       100
          26       0.00      0.00      0.00       100
          27       0.00      0.00      0.00        96
          28       0.00      0.00      0.00        99
          29       0.00      0.00      0.00        93
          30       0.00      0.00      0.00       100
          31       0.00      0.00      0.00       100
          32       0.00      0.00      0.00       100
          33       0.00      0.00      0.00        96
          34       0.00      0.00      0.00        98
          35       0.00      0.00      0.00        94
          36       0.00      0.00      0.00        99
          37       0.00      0.00      0.00        99
          38       0.00      0.00      0.00       100
          39       0.00      0.00      0.00        98
          40       0.00      0.00      0.00       100
          41       0.00      0.00      0.00        99
          42       0.00      0.00      0.00        99
          43       0.00      0.00      0.00        99
          44       0.00      0.00      0.00        96
          45       0.00      0.00      0.00       100
          46       0.00      0.00      0.00       100
          47       0.00      0.00      0.00        98
          48       0.00      0.00      0.00       100
          49       0.00      0.00      0.00       100
          50       0.00      0.00      0.00       100
          51       0.00      0.00      0.00       100
          52       0.00      0.00      0.00       100
          53       0.00      0.00      0.00       100
          54       0.00      0.00      0.00        99
          55       0.00      0.00      0.00       100
          56       0.00      0.00      0.00       100
          57       0.00      0.00      0.00       100
          58       0.00      0.00      0.00       100
          59       0.00      0.00      0.00       100
          60       0.00      0.00      0.00        96
          61       0.00      0.00      0.00        92
          62       0.00      0.00      0.00        97
          63       0.00      0.00      0.00        98
          64       0.00      0.00      0.00       100
          65       0.00      0.00      0.00        99
          66       0.00      0.00      0.00        97
          67       0.00      0.00      0.00        99
          68       0.00      0.00      0.00       100
          69       0.00      0.00      0.00        98
          70       0.00      0.00      0.00        98
          71       0.00      0.00      0.00       100
          72       0.00      0.00      0.00       100
          73       0.00      0.00      0.00       100
          74       0.00      0.00      0.00       100
          75       0.00      0.00      0.00       100
          76       0.00      0.00      0.00       100
          77       0.00      0.00      0.00       100
          78       0.00      0.00      0.00        99
          79       0.00      0.00      0.00        99
          80       0.00      0.00      0.00       100
          81       0.00      0.00      0.00       100
          82       0.00      0.00      0.00       100
          83       0.00      0.00      0.00        99
          84       0.00      0.00      0.00       100
          85       0.00      0.00      0.00       100
          86       0.00      0.00      0.00        98
          87       0.00      0.00      0.00       100
          88       0.00      0.00      0.00        99
          89       0.00      0.00      0.00        97
          90       0.00      0.00      0.00       100
          91       0.00      0.00      0.00        97
          92       0.00      0.00      0.00        97
          93       0.00      0.00      0.00       100
          94       0.00      0.00      0.00        99
          95       0.00      0.00      0.00       100
          96       0.00      0.00      0.00       100
          97       0.00      0.00      0.00       100
          98       0.00      0.00      0.00        99
          99       0.00      0.00      0.00       100

    accuracy                           0.01      9905
   macro avg       0.00      0.01      0.00      9905
weighted avg       0.00      0.01      0.00      9905


(Method , Model) : (SIFT , SVM)
Method spend 171.3 sec.
Model spend 168.57 sec.
Accuracy = 0.010095911155981827
F1 score = 0.0001999000499750125
Classification Report:               precision    recall  f1-score   support

           0       0.00      0.00      0.00        98
           1       0.00      0.00      0.00       100
           2       0.00      0.00      0.00        96
           3       0.00      0.00      0.00       100
           4       0.00      0.00      0.00       100
           5       0.00      0.00      0.00       100
           6       0.00      0.00      0.00        99
           7       0.00      0.00      0.00       100
           8       0.00      0.00      0.00       100
           9       0.00      0.00      0.00       100
          10       0.00      0.00      0.00       100
          11       0.00      0.00      0.00        99
          12       0.00      0.00      0.00        99
          13       0.00      0.00      0.00        96
          14       0.00      0.00      0.00       100
          15       0.00      0.00      0.00       100
          16       0.00      0.00      0.00       100
          17       0.00      0.00      0.00       100
          18       0.00      0.00      0.00       100
          19       0.00      0.00      0.00       100
          20       0.00      0.00      0.00       100
          21       0.00      0.00      0.00       100
          22       0.00      0.00      0.00       100
          23       0.00      0.00      0.00       100
          24       0.00      0.00      0.00        99
          25       0.00      0.00      0.00       100
          26       0.00      0.00      0.00       100
          27       0.00      0.00      0.00        96
          28       0.00      0.00      0.00        99
          29       0.00      0.00      0.00        93
          30       0.00      0.00      0.00       100
          31       0.00      0.00      0.00       100
          32       0.00      0.00      0.00       100
          33       0.00      0.00      0.00        96
          34       0.00      0.00      0.00        98
          35       0.00      0.00      0.00        94
          36       0.00      0.00      0.00        99
          37       0.00      0.00      0.00        99
          38       0.00      0.00      0.00       100
          39       0.00      0.00      0.00        98
          40       0.00      0.00      0.00       100
          41       0.00      0.00      0.00        99
          42       0.00      0.00      0.00        99
          43       0.00      0.00      0.00        99
          44       0.00      0.00      0.00        96
          45       0.00      0.00      0.00       100
          46       0.00      0.00      0.00       100
          47       0.00      0.00      0.00        98
